DMUs,Period,Capital,Labor,GIOV
Beijing,2005,12829.79,116.97,6946.07
Tianjin,2005,6347.92,122.17,6774.1
Hebei,2005,9473.7,292.21,11008.12
Shanxi_1,2005,7045.09,213.2,4850.91
Neimenggu,2005,4595.89,83.7,2995.59
Liaoning,2005,11902.12,276.55,10814.51
Jilin,2005,4506.88,101.83,3791.96
Heilongjiang,2005,5174.47,136.85,4714.91
Shangai,2005,15905.94,259.63,15767.51
Jiangsu,2005,25488.86,704.24,32707.09
Zhejiang,2005,20609.3,659.12,23106.76
Anhui,2005,5067.1,155.21,4567.23
Fujian,2005,6841.37,290.41,8135.98
Jiangxi,2005,3058.34,112.11,2978.88
Shandong,2005,22131.24,738.23,30522.86
Henan,2005,9158.03,362.79,10487.38
Hubei,2005,8683.39,188.3,6066.96
Hunan,2005,4611.6,169.25,4754.86
Guangdong,2005,27076.08,1085.65,35942.74
Guangxi,2005,3009.98,91.21,2547.32
Hainan,2005,791.28,12.1,473.06
Chongqing,2005,3091.96,92.42,2525.87
Sichuan,2005,7908.62,218.99,6178.03
Guizhou,2005,2734.05,68.08,1690.4
Yunnan,2005,3964.32,68.83,2596.21
Tibet,2005,112.43,1.99,27.29
Shanxi_2,2005,5085.87,118.97,3397.71
Gansu,2005,2483.04,68.62,1988.26
Qinghai,2005,1145.49,14.04,486.86
Ningxia,2005,1113.1,25.58,671.54
Sinkiang,2005,2837,46.7,2102.53
Beijing,2006,14244.4,117.36,8210
Tianjin,2006,7129.02,116.33,8527.7
Hebei,2006,11250.95,303.35,13489.8
Shanxi_1,2006,8865.5,220.59,5902.84
Neimenggu,2006,5605.92,90.72,4140.05
Liaoning,2006,14140.89,303.02,14167.95
Jilin,2006,5449.59,105.21,4752.72
Heilongjiang,2006,5690.43,140.31,5440.17
Shangai,2006,17926.1,266.84,18573.13
Jiangsu,2006,30500.98,774.5,41410.4
Zhejiang,2006,24895.59,726.94,29129.94
Anhui,2006,6234.68,164.81,5915.59
Fujian,2006,8168.75,324.89,10005.08
Jiangxi,2006,3671.41,125.8,4245.49
Shandong,2006,26475.35,788.11,38780.1
Henan,2006,11026.18,365.28,13889.77
Hubei,2006,9694.56,190.85,7454.07
Hunan,2006,5582.18,178.15,6131.18
Guangdong,2006,33869.53,1203.58,44674.75
